Question,Answer
How much does Listly cost?,"Listly is free for up to 3 lists. The Pro plan is $4/month and unlocks unlimited lists, reminders, and themes."
Is there a free trial for Pro?,"Yes, every new account gets a 14-day free trial of Pro, no card required."
Does Listly sync across my devices?,"Yes, your lists sync automatically across phone, tablet, and desktop as long as you are signed in."
Can I use Listly without internet?,"Yes, Listly works offline. Changes sync automatically the next time you are connected."
How do I share a list with someone?,"Open a list, tap Share, and enter their email. They will get an invite to collaborate in real time."
Can I set reminders for tasks?,"Yes, tap any task and choose Add reminder to get a notification at the time you pick."
How do I turn off notifications?,"Go to Settings, then Notifications, and toggle off the alerts you do not want."
Can I export my lists?,"Yes, go to Settings, then Export, to download your lists as CSV or PDF."
How do I cancel my subscription?,"Go to Settings, then Billing, then Cancel plan. You keep Pro features until the end of your billing period."
How do I change my password?,"Go to Settings, then Account, then Change password. We will email you a confirmation."
Does Listly have a dark mode?,"Yes, go to Settings, then Appearance, and switch to Dark."
Is my data private and secure?,"Yes, your lists are encrypted in transit and at rest, and we never sell your data."
Can I use Listly on the web?,"Yes, Listly works in any modern browser at app.listly.com in addition to the mobile apps."
How many lists can I create on the free plan?,The free plan includes up to 3 lists. Upgrade to Pro for unlimited lists.
Can I recover a deleted list?,"Yes, deleted lists are kept in Trash for 30 days and can be restored from Settings, then Trash."
